RAJ2000	DEJ2000
01 29 49.93	+31 19 24.2
01 29 50.82	+30 45 10.5
01 29 51.21	+30 46 33.4
01 29 52.09	+31 07 14.3
01 29 52.11	+31 24 25.6
01 29 52.41	+30 39 59.5
01 29 52.80	+30 47 25.2
01 29 53.01	+31 23 18.3
01 29 53.36	+31 20 52.0
01 29 53.68	+31 06 17.9
01 29 53.86	+31 01 45.2
01 29 54.08	+30 27 36.4
01 29 54.89	+29 52 14.5
01 29 54.92	+30 16 43.3
01 29 55.35	+30 25 14.0
01 29 55.36	+30 01 45.1
01 29 56.26	+30 13 04.5
01 29 56.50	+30 45 37.1
01 29 56.56	+30 47 42.2
01 29 56.77	+30 45 49.4
01 29 57.10	+29 48 43.5
01 29 57.20	+30 31 00.5
01 29 57.38	+30 02 23.8
01 29 57.47	+29 57 17.9
01 29 57.64	+30 34 48.0
01 29 57.69	+30 01 57.5
01 29 57.79	+29 59 35.5
01 29 57.86	+30 11 48.8
01 29 57.92	+30 34 19.6
01 29 57.95	+31 16 36.4
01 29 58.54	+30 15 50.8
01 29 58.62	+31 01 09.0
01 29 59.23	+31 15 51.0
01 29 59.30	+31 11 20.1
01 29 59.61	+30 17 59.2
01 30 00.19	+29 53 35.0
01 30 00.28	+31 03 07.3
01 30 00.38	+31 12 33.0
01 30 00.45	+30 17 10.2
01 30 00.65	+29 50 41.4
01 30 00.83	+30 04 14.7
01 30 00.96	+31 09 35.0
01 30 01.23	+30 35 59.9
01 30 01.36	+30 13 24.6
01 30 01.36	+30 32 07.7
01 30 01.45	+30 25 19.7
01 30 01.60	+30 44 43.9
01 30 01.89	+31 24 11.6
01 30 02.25	+30 13 51.4
01 30 02.42	+31 29 24.1
01 30 02.46	+31 09 09.9
01 30 02.70	+30 21 16.1
01 30 02.79	+30 27 21.6
01 30 03.12	+30 57 05.4
01 30 03.26	+30 54 07.1
01 30 03.33	+30 03 03.9
01 30 03.40	+29 49 04.5
01 30 03.53	+31 00 55.0
01 30 03.80	+31 26 21.9
01 30 03.95	+30 34 50.1
01 30 04.16	+31 25 52.4
01 30 04.24	+30 49 18.5
01 30 04.35	+31 16 47.2
01 30 04.45	+30 24 33.1
01 30 04.48	+31 04 45.5
01 30 04.73	+30 57 31.0
01 30 04.89	+29 47 55.0
01 30 05.04	+30 37 07.1
01 30 05.17	+29 50 51.7
01 30 05.36	+31 01 36.5
01 30 05.51	+30 40 23.5
01 30 05.64	+29 53 11.0
01 30 05.68	+31 28 22.0
01 30 05.72	+30 51 04.1
01 30 06.07	+30 45 30.6
01 30 06.16	+30 31 40.3
01 30 06.17	+31 02 07.4
01 30 06.26	+30 23 54.5
01 30 06.27	+30 48 49.0
01 30 06.33	+30 05 40.4
01 30 06.53	+30 03 38.3
01 30 06.74	+30 18 16.9
01 30 07.38	+30 43 18.4
01 30 07.47	+30 18 41.2
01 30 07.51	+30 42 12.8
01 30 07.62	+30 02 25.8
01 30 07.64	+31 25 24.7
01 30 07.78	+31 17 30.0
01 30 07.87	+30 28 37.7
01 30 08.24	+30 09 17.1
01 30 08.26	+30 36 21.6
01 30 08.32	+30 35 33.7
01 30 08.34	+29 51 02.0
01 30 08.41	+30 43 39.2
