Num	Star	RA	Dec	Type
1	J013232.07+303522.4	23.13362	30.58956	WN2
2	J013232.13+303514.3	23.13387	30.58731	WN3+neb
3	J013233.24+302652.3	23.1385	30.44786	WN2+abs
4	J013237.62+304004.3	23.15675	30.667859999999997	WC
5	J013237.72+304005.7	23.15717	30.66825	Ofpe/WN9
6	J013240.82+302454.3	23.17008	30.41508	WNE
7	J013241.39+303416.2	23.17246	30.571170000000002	WN3h
8	J013241.95+304024.6	23.174789999999998	30.6735	WCE
9	J013245.41+303858.3	23.18921	30.64953	Ofpe/WN9
10	J013245.74+303854.4	23.190579999999997	30.64844	WN2+O7
11	J013245.84+302019.5	23.191	30.33875	WC4+neb
12	J013255.91+303155.9	23.232960000000002	30.532190000000003	WC4
13	J013256.35+303535.4	23.23479	30.59317	WN6+abs
14	J013256.84+302724.9	23.236829999999998	30.45692	WN
15	J013257.32+304418.1	23.23883	30.738359999999997	WN3+neb
16	J013257.88+303549.8	23.24117	30.597170000000002	WC4
17	J013300.20+303015.3	23.25083	30.50425	WN8
18	J013302.28+301119.1	23.2595	30.188640000000003	WN3+neb
19	J013302.67+303120.1	23.261120000000002	30.52225	WN3
20	J013302.94+301122.8	23.26225	30.18967	WNE
21	J013303.19+301124.2	23.263289999999998	30.19006	WNE
22	J013303.21+303408.6	23.263370000000002	30.569059999999997	WN6
23	J013303.71+302326.3	23.26546	30.39064	WC
24	J013304.98+303159.8	23.27075	30.533279999999998	WNE
25	J013305.67+302857.6	23.27362	30.482670000000002	WNE
26	J013307.50+304258.5	23.28125	30.71625	WN2
27	J013307.68+303315.4	23.282	30.55428	WN4
28	J013307.80+302951.1	23.2825	30.497529999999998	WNE
29	J013308.56+302805.6	23.28567	30.468220000000002	WNE
30	J013309.14+304954.5	23.288079999999997	30.831809999999997	Ofpe/WN9
31	J013310.74+303900.2	23.29475	30.650059999999996	WN
32	J013310.77+302734.2	23.29487	30.4595	WN4
33	J013311.13+303916.8	23.29637	30.65467	WN3+abs
34	J013311.29+303146.9	23.29704	30.529690000000002	WN4+B2I
35	J013311.44+304856.9	23.29767	30.81581	WNE+B3I
36	J013311.85+303852.7	23.29937	30.64797	WNL
37	J013312.21+302740.5	23.30087	30.46125	WN
38	J013312.44+303848.0	23.30183	30.64667	WN3+neb
39	J013312.54+303900.3	23.30225	30.65008	WN/C+abs
40	J013312.61+304531.0	23.30254	30.758609999999997	WN4
41	J013312.95+304459.4	23.30396	30.74983	WN
42	J013314.34+302955.3	23.30975	30.498690000000003	WN
43	J013314.56+305319.6	23.310670000000002	30.88878	WN3+neb
44	J013315.02+303906.9	23.31258	30.65192	WC5-6
45	J013315.31+304503.5	23.31379	30.750970000000002	WN3,WN/CE
46	J013315.43+302300.1	23.31429	30.383359999999996	WN3
47	J013315.55+304514.1	23.31479	30.75392	WN3+neb
48	J013315.82+305644.8	23.315920000000002	30.94578	WN4.5+O
49	J013316.17+304751.8	23.31737	30.79772	WC4
50	J013316.48+303221.3	23.31867	30.53925	WNL
51	J013318.50+302658.2	23.32708	30.4495	WC4-5
52	J013324.04+305030.7	23.350170000000002	30.841859999999997	WN8
53	J013326.60+303550.3	23.36083	30.597309999999997	WN6
54	J013326.67+304040.3	23.36112	30.67786	WC6
55	J013327.26+303909.1	23.36358	30.65253	Ofpe/WN9
56	J013327.76+303150.9	23.36567	30.53081	WN
57	J013330.36+303128.6	23.3765	30.52461	WN4
58	J013332.64+304127.2	23.386	30.690890000000003	WNL/LBV
59	J013332.82+304146.0	23.38675	30.696109999999997	WN7
60	J013332.97+304136.1	23.38737	30.69336	WNL
61	J013333.31+304129.7	23.38879	30.69158	WC6
62	J013333.49+304133.4	23.38954	30.69261	WNL?
63	J013333.75+304134.0	23.390620000000002	30.69278	WNLx2?
64	J013333.81+304129.6	23.39087	30.69156	WN7
65	J013334.04+304117.2	23.39183	30.688109999999998	WN
66	J013334.26+304138.1	23.39275	30.693920000000002	WN7
67	J013334.27+304136.7	23.392789999999998	30.69353	WNL+neb
68	J013334.28+303347.5	23.39283	30.563190000000002	WN5
69	J013334.31+304130.4	23.392960000000002	30.691779999999998	WN8
70	J013334.93+310042.8	23.39554	31.01189	WN4
71	J013335.23+310037.6	23.39679	31.010440000000003	WN3
72	J013335.47+304220.1	23.39779	30.705579999999998	WC4
73	J013335.73+303629.1	23.398870000000002	30.608079999999998	WC
74	J013336.67+304302.6	23.40279	30.71739	WN4+O
75	J013337.34+303527.1	23.40558	30.59086	WN4
76	J013337.81+302831.9	23.40754	30.47553	WN4
77	J013338.20+303112.8	23.40917	30.520220000000002	WC6
78	J013339.30+303554.9	23.41375	30.59858	WN4
79	J013339.52+304540.5	23.41467	30.76125	B0.5Ia+WNE
80	J013339.70+302101.2	23.41542	30.35033	WNE
81	J013339.95+303138.5	23.41646	30.527359999999998	WN4b
82	J013340.04+303121.3	23.416829999999997	30.522579999999998	WNE+abs
83	J013340.07+304238.4	23.41696	30.71067	WC5
84	J013340.19+303134.5	23.417460000000002	30.52625	WC4
85	J013340.21+303551.8	23.41754	30.597720000000002	WC4-5
86	J013340.23+304102.0	23.41762	30.68389	WN
87	J013340.28+304053.4	23.41783	30.6815	WC
88	J013340.32+304600.9	23.418	30.766920000000002	WN3+neb
89	J013340.69+304253.7	23.419539999999998	30.714920000000003	WN
90	J013341.65+303855.2	23.42354	30.648670000000003	WN
91	J013341.83+304154.8	23.42429	30.698559999999997	WC6-7
92	J013341.91+304202.7	23.42462	30.70075	WN
93	J013342.53+303314.7	23.427210000000002	30.55408	WC4-5
94	J013343.19+303906.2	23.42996	30.65172	WN7+abs
95	J013343.21+303900.5	23.430039999999998	30.650140000000004	WC5
96	J013343.33+304450.5	23.43054	30.747359999999997	WN4
97	J013343.34+303534.1	23.43058	30.592809999999997	WN4.5+O6-9
98	J013344.40+303845.9	23.435	30.646079999999998	WC4
99	J013345.24+303841.1	23.4385	30.64475	WN7
100	J013345.58+303451.9	23.43992	30.58108	WNL
101	J013345.99+303602.7	23.44162	30.60075	WN4b
102	J013346.20+303436.5	23.4425	30.57681	WNE
103	J013346.55+303700.5	23.44396	30.616809999999997	WC6
104	J013346.80+303334.5	23.445	30.55958	WN6/C4
105	J013347.15+303702.8	23.446460000000002	30.617440000000002	WC6
106	J013347.67+304351.3	23.448620000000002	30.73092	WN6
107	J013347.83+303338.1	23.449289999999998	30.560579999999998	WN4
108	J013347.96+304506.6	23.44983	30.751829999999998	WN
109	J013348.85+303949.6	23.45354	30.66378	WN
110	J013350.08+303818.9	23.45867	30.638579999999997	WN+O8-9
111	J013350.08+303856.2	23.45867	30.648940000000003	WC7+abs
112	J013350.23+303342.4	23.45929	30.56178	WN8-9
113	J013350.26+304134.7	23.45942	30.692970000000003	WC5-6
114	J013350.42+303834.2	23.460079999999998	30.64283	B1Ia+WN
115	J013350.71+305636.7	23.461289999999998	30.94353	WN3+neb
